timestamp,rainfall_mm
11/30/2015 01:30,4.9950004
11/30/2015 02:00,3.3261108
11/30/2015 02:30,1.4894443
11/30/2015 03:00,0.97999996
11/30/2015 03:30,0.31166664
11/30/2015 04:00,0.0
11/30/2015 04:30,0.0
11/30/2015 05:00,0.04222222
11/30/2015 05:30,0.4894444
11/30/2015 06:00,0.19166666
11/30/2015 06:30,0.16
11/30/2015 07:00,0.0
11/30/2015 07:30,0.6922222
11/30/2015 08:00,1.3177779
11/30/2015 08:30,2.4094446
11/30/2015 09:00,2.311111
11/30/2015 09:30,2.76
11/30/2015 10:00,2.8066664
11/30/2015 10:30,1.8888888
11/30/2015 11:00,1.395
11/30/2015 11:30,0.9855555
11/30/2015 12:00,0.86611104
11/30/2015 12:30,0.415
11/30/2015 13:00,0.7094444
11/30/2015 13:30,0.6005556
11/30/2015 14:00,0.8861111
11/30/2015 14:30,1.5311111
11/30/2015 15:00,2.2088885
11/30/2015 15:30,3.12
11/30/2015 16:00,3.1188889
11/30/2015 16:30,3.0583334
11/30/2015 17:00,1.8605554
11/30/2015 17:30,2.4194443
11/30/2015 18:00,2.765
11/30/2015 18:30,2.9416668
11/30/2015 19:00,1.8677777
11/30/2015 19:30,1.6949999
11/30/2015 20:00,1.8766665
11/30/2015 20:30,1.4983333
11/30/2015 21:00,0.9255555
11/30/2015 21:30,1.0572221
11/30/2015 22:00,1.2561111
11/30/2015 22:30,1.518889
11/30/2015 23:00,1.5033332
11/30/2015 23:30,1.5288891
12/01/2015 00:00,2.4377778
12/01/2015 00:30,3.3594444
12/01/2015 01:30,3.73
12/01/2015 02:00,4.8811107
12/01/2015 02:30,5.6416664
12/01/2015 03:00,11.42722
12/01/2015 03:30,15.557776
12/01/2015 04:00,16.51
12/01/2015 04:30,17.966112
12/01/2015 05:00,18.388334
12/01/2015 05:30,16.627777
12/01/2015 06:00,14.102222
12/01/2015 06:30,13.007222
12/01/2015 07:00,13.189443
12/01/2015 07:30,13.533333
12/01/2015 08:00,16.01222
12/01/2015 08:30,17.366665
12/01/2015 09:00,14.602777
12/01/2015 09:30,8.991666
12/01/2015 10:00,13.673888
12/01/2015 10:30,8.680555
12/01/2015 11:00,7.1633325
12/01/2015 11:30,10.585
12/01/2015 12:00,16.461111
12/01/2015 12:30,19.967777
12/01/2015 13:00,23.997221
12/01/2015 13:30,24.735556
12/01/2015 14:00,21.76611
12/01/2015 14:30,19.714445
12/01/2015 15:00,15.386666
12/01/2015 15:30,14.345001
12/01/2015 16:00,12.229444
12/01/2015 16:30,12.186111
12/01/2015 17:00,10.032778
12/01/2015 17:30,13.407778
12/01/2015 18:00,10.757222
12/01/2015 18:30,10.866112
12/01/2015 19:00,8.134999
12/01/2015 19:30,6.2422223
12/01/2015 20:00,6.7627773
12/01/2015 20:30,6.002222
12/01/2015 21:00,6.955556
12/01/2015 21:30,6.045555
12/01/2015 22:00,6.9177775
12/01/2015 22:30,6.6783333
12/01/2015 23:00,6.7099996
12/01/2015 23:30,6.787778
12/02/2015 00:00,6.3827777
12/02/2015 00:30,6.144445
12/02/2015 01:00,5.542777
12/02/2015 01:30,5.336111
12/02/2015 02:00,4.466666
12/02/2015 02:30,3.8627777
12/02/2015 03:00,3.271111
12/02/2015 03:30,2.1966665
12/02/2015 04:00,1.438889
12/02/2015 04:30,0.8605555
12/02/2015 05:00,0.33333334
12/02/2015 05:30,1.0505556
12/02/2015 06:00,1.4449999
12/02/2015 06:30,2.6138887
12/02/2015 07:00,2.2394445
12/02/2015 07:30,2.055
12/02/2015 08:00,2.2261114
12/02/2015 08:30,1.9022222
12/02/2015 09:00,1.2683332
12/02/2015 09:30,1.0216668
12/02/2015 10:00,0.74333334
12/02/2015 10:30,0.59055555
12/02/2015 11:00,0.19111112
12/02/2015 11:30,0.37499997
12/02/2015 12:00,1.0422223
12/02/2015 12:30,1.3244444
12/02/2015 13:00,1.6544443
12/02/2015 13:30,0.93611115
12/02/2015 14:00,0.77500004
12/02/2015 14:30,1.0816667
12/02/2015 15:00,0.3222222
12/02/2015 15:30,0.88555557
12/02/2015 16:00,0.7738888
12/02/2015 16:30,0.8088889
12/02/2015 17:00,0.53
12/02/2015 17:30,0.31888887
12/02/2015 18:00,0.19888887
12/02/2015 18:30,0.25888887
12/02/2015 19:00,0.4544444
12/02/2015 19:30,0.86444443
12/02/2015 20:00,0.9177778
12/02/2015 20:30,0.8955555
12/02/2015 21:00,0.43111113
12/02/2015 21:30,0.4194444
12/02/2015 22:00,0.3111111
12/02/2015 22:30,0.15888888
12/02/2015 23:00,0.32277778
12/02/2015 23:30,0.26888886
12/03/2015 00:00,0.24833332
12/03/2015 00:30,0.27555555
12/03/2015 01:00,0.36388886
12/03/2015 01:30,0.3072222
12/03/2015 02:00,0.33166668
12/03/2015 02:30,0.12611109
12/03/2015 03:00,0.2272222
12/03/2015 03:30,0.12722223
12/03/2015 04:00,0.12277778
12/03/2015 04:30,0.105
12/03/2015 05:00,0.195
12/03/2015 05:30,0.063888885
12/03/2015 06:00,0.16277778
12/03/2015 06:30,0.22111112
12/03/2015 07:00,0.3411111
12/03/2015 07:30,0.107777774
12/03/2015 08:00,0.058888886
12/03/2015 08:30,0.14444445
12/03/2015 09:00,0.265
12/03/2015 09:30,0.17999998
12/03/2015 10:00,0.12333332
12/03/2015 10:30,0.40166667
12/03/2015 11:00,0.37166667
12/03/2015 11:30,0.31166667
12/03/2015 12:00,0.26055554
12/03/2015 12:30,0.2361111
12/03/2015 13:00,0.22611111
12/03/2015 13:30,0.24111107
12/03/2015 14:00,0.2638889
12/03/2015 14:30,0.17611113
12/03/2015 15:00,0.095
12/03/2015 15:30,0.04388889
12/03/2015 16:00,0.085
12/03/2015 16:30,0.111111104
12/03/2015 17:00,0.06944445
12/03/2015 17:30,0.016111111
12/03/2015 18:00,0.007222222
12/03/2015 18:30,0.010555555
12/03/2015 19:00,0.045
12/03/2015 19:30,0.18444444
12/03/2015 20:00,0.15722221
12/03/2015 20:30,0.16777778
12/03/2015 21:00,0.033333335
12/03/2015 21:30,0.0
12/03/2015 22:00,0.0
12/03/2015 22:30,0.0
12/03/2015 23:00,0.0
12/03/2015 23:30,0.0
12/04/2015 00:00,0.027777778
12/04/2015 00:30,0.049444444
12/04/2015 01:00,0.071666665
12/04/2015 01:30,0.06277778
12/04/2015 02:00,0.0044444446
12/04/2015 02:30,0.0
12/04/2015 03:00,0.0
12/04/2015 03:30,0.046666667
12/04/2015 04:00,0.008333334
12/04/2015 04:30,0.014999999
12/04/2015 05:00,0.0
12/04/2015 05:30,0.0
12/04/2015 06:00,0.037777778
12/04/2015 06:30,0.026666665
12/04/2015 07:00,0.06555556
12/04/2015 07:30,0.075
